Port Name,Year,Hour of Day,Demand (kW)
Baltimore,2029,19,264.4
Baltimore,2029,20,264.4
Baltimore,2029,21,264.4
Baltimore,2029,22,264.4
Baltimore,2029,23,264.4
Baltimore,2030,0,315.2
Baltimore,2030,1,315.2
Baltimore,2030,2,2109.4
Baltimore,2030,3,1999.5
Baltimore,2030,4,560.1
Baltimore,2030,5,560.1
Baltimore,2030,6,507.3
Baltimore,2030,7,315.2
Baltimore,2030,8,315.2
Baltimore,2030,9,315.2
Baltimore,2030,10,315.2
Baltimore,2030,11,315.2
Baltimore,2030,12,315.2
Baltimore,2030,13,315.2
Baltimore,2030,14,315.2
Baltimore,2030,15,315.2
Baltimore,2030,16,315.2
Baltimore,2030,17,2109.4
Baltimore,2030,18,315.2
Baltimore,2030,19,315.2
Baltimore,2030,20,315.2
Baltimore,2030,21,315.2
Baltimore,2030,22,315.2
Baltimore,2030,23,315.2
Baltimore,2031,0,366.1
Baltimore,2031,1,366.1
Baltimore,2031,2,2449.6
Baltimore,2031,3,2322.0
Baltimore,2031,4,650.5
Baltimore,2031,5,650.5
Baltimore,2031,6,589.1
Baltimore,2031,7,366.1
Baltimore,2031,8,366.1
Baltimore,2031,9,366.1
Baltimore,2031,10,366.1
Baltimore,2031,11,366.1
Baltimore,2031,12,366.1
Baltimore,2031,13,366.1
Baltimore,2031,14,366.1
Baltimore,2031,15,366.1
Baltimore,2031,16,366.1
Baltimore,2031,17,2449.6
Baltimore,2031,18,366.1
Baltimore,2031,19,366.1
Baltimore,2031,20,366.1
Baltimore,2031,21,366.1
Baltimore,2031,22,366.1
Baltimore,2031,23,366.1
Baltimore,2032,0,427.1
Baltimore,2032,1,427.1
Baltimore,2032,2,2857.9
Baltimore,2032,3,2709.0
Baltimore,2032,4,758.9
Baltimore,2032,5,758.9
Baltimore,2032,6,687.3
Baltimore,2032,7,427.1
Baltimore,2032,8,427.1
Baltimore,2032,9,427.1
Baltimore,2032,10,427.1
Baltimore,2032,11,427.1
Baltimore,2032,12,427.1
Baltimore,2032,13,427.1
Baltimore,2032,14,427.1
Baltimore,2032,15,427.1
Baltimore,2032,16,427.1
Baltimore,2032,17,2857.9
Baltimore,2032,18,427.1
Baltimore,2032,19,427.1
Baltimore,2032,20,427.1
Baltimore,2032,21,427.1
Baltimore,2032,22,427.1
Baltimore,2032,23,427.1
Baltimore,2033,0,488.1
Baltimore,2033,1,488.1
Baltimore,2033,2,3266.2
Baltimore,2033,3,3096.0
Baltimore,2033,4,867.3
Baltimore,2033,5,867.3
Baltimore,2033,6,785.5
Baltimore,2033,7,488.1
Baltimore,2033,8,488.1
Baltimore,2033,9,488.1
Baltimore,2033,10,488.1
Baltimore,2033,11,488.1
Baltimore,2033,12,488.1
Baltimore,2033,13,488.1
Baltimore,2033,14,488.1
Baltimore,2033,15,488.1
Baltimore,2033,16,488.1
Baltimore,2033,17,3266.2
Baltimore,2033,18,488.1
Baltimore,2033,19,488.1
Baltimore,2033,20,488.1
Baltimore,2033,21,488.1
Baltimore,2033,22,488.1
Baltimore,2033,23,488.1
Baltimore,2034,0,549.1
Baltimore,2034,1,549.1
Baltimore,2034,2,3674.5
Baltimore,2034,3,3483.0
Baltimore,2034,4,975.7
Baltimore,2034,5,975.7
Baltimore,2034,6,883.6
Baltimore,2034,7,549.1
Baltimore,2034,8,549.1
Baltimore,2034,9,549.1
Baltimore,2034,10,549.1
Baltimore,2034,11,549.1
Baltimore,2034,12,549.1
Baltimore,2034,13,549.1
Baltimore,2034,14,549.1
Baltimore,2034,15,549.1
Baltimore,2034,16,549.1
Baltimore,2034,17,3674.5
Baltimore,2034,18,549.1
Baltimore,2034,19,549.1
Baltimore,2034,20,549.1
Baltimore,2034,21,549.1
Baltimore,2034,22,549.1
Baltimore,2034,23,549.1
Baltimore,2035,0,620.3
Baltimore,2035,1,620.3
Baltimore,2035,2,4150.8
Baltimore,2035,3,3934.5
Baltimore,2035,4,1102.2
Baltimore,2035,5,1102.2
Baltimore,2035,6,998.2
Baltimore,2035,7,620.3
Baltimore,2035,8,620.3
Baltimore,2035,9,620.3
Baltimore,2035,10,620.3
Baltimore,2035,11,620.3
Baltimore,2035,12,620.3
Baltimore,2035,13,620.3
Baltimore,2035,14,620.3
Baltimore,2035,15,620.3
Baltimore,2035,16,620.3
Baltimore,2035,17,4150.8
Baltimore,2035,18,620.3
Baltimore,2035,19,620.3
Baltimore,2035,20,620.3
Baltimore,2035,21,620.3
Baltimore,2035,22,620.3
Baltimore,2035,23,620.3
Boston,100% eCHE,0,254.2
Boston,100% eCHE,1,254.2
Boston,100% eCHE,2,1990.9
Boston,100% eCHE,3,1881.8
Boston,100% eCHE,4,579.5
Boston,100% eCHE,5,579.5
Boston,100% eCHE,6,409.1
Boston,100% eCHE,7,254.2
Boston,100% eCHE,8,254.2
Boston,100% eCHE,9,254.2
Boston,100% eCHE,10,254.2
Boston,100% eCHE,11,254.2
Boston,100% eCHE,12,254.2
Boston,100% eCHE,13,254.2
Boston,100% eCHE,14,254.2
Boston,100% eCHE,15,254.2
Boston,100% eCHE,16,254.2
Boston,100% eCHE,17,1990.9
Boston,100% eCHE,18,254.2
Boston,100% eCHE,19,254.2
Boston,100% eCHE,20,254.2
Boston,100% eCHE,21,254.2
Boston,100% eCHE,22,254.2
Boston,100% eCHE,23,254.2
Boston,2023,0,20.3
Boston,2023,1,20.3
Boston,2023,2,159.3
Boston,2023,3,150.5
Boston,2023,4,46.4
Boston,2023,5,46.4
Boston,2023,6,32.7
Boston,2023,7,20.3
Boston,2023,8,20.3
Boston,2023,9,20.3
Boston,2023,10,20.3
Boston,2023,11,20.3
Boston,2023,12,20.3
Boston,2023,13,20.3
Boston,2023,14,20.3
Boston,2023,15,20.3
Boston,2023,16,20.3
Boston,2023,17,159.3
Boston,2023,18,20.3
Boston,2023,19,20.3
Boston,2023,20,20.3
Boston,2023,21,20.3
Boston,2023,22,20.3
Boston,2023,23,20.3
Boston,2024,0,25.4
Boston,2024,1,25.4
Boston,2024,2,199.1
Boston,2024,3,188.2
Boston,2024,4,58.0
Boston,2024,5,58.0
Boston,2024,6,40.9
Boston,2024,7,25.4
Boston,2024,8,25.4
Boston,2024,9,25.4
Boston,2024,10,25.4
Boston,2024,11,25.4
Boston,2024,12,25.4
Boston,2024,13,25.4
Boston,2024,14,25.4
Boston,2024,15,25.4
Boston,2024,16,25.4
Boston,2024,17,199.1
Boston,2024,18,25.4
Boston,2024,19,25.4
Boston,2024,20,25.4
Boston,2024,21,25.4
Boston,2024,22,25.4
Boston,2024,23,25.4
Boston,2025,0,30.5
Boston,2025,1,30.5
Boston,2025,2,238.9
Boston,2025,3,225.8
Boston,2025,4,69.5
Boston,2025,5,69.5
Boston,2025,6,49.1
Boston,2025,7,30.5
Boston,2025,8,30.5
Boston,2025,9,30.5
Boston,2025,10,30.5
Boston,2025,11,30.5
Boston,2025,12,30.5
Boston,2025,13,30.5
Boston,2025,14,30.5
Boston,2025,15,30.5
Boston,2025,16,30.5
Boston,2025,17,238.9
Boston,2025,18,30.5
Boston,2025,19,30.5
Boston,2025,20,30.5
Boston,2025,21,30.5
Boston,2025,22,30.5
Boston,2025,23,30.5
Boston,2026,0,38.1
Boston,2026,1,38.1
Boston,2026,2,298.6
Boston,2026,3,282.3
Boston,2026,4,86.9
Boston,2026,5,86.9
Boston,2026,6,61.4
Boston,2026,7,38.1
Boston,2026,8,38.1
Boston,2026,9,38.1
Boston,2026,10,38.1
Boston,2026,11,38.1
Boston,2026,12,38.1
Boston,2026,13,38.1
Boston,2026,14,38.1
Boston,2026,15,38.1
Boston,2026,16,38.1
Boston,2026,17,298.6
Boston,2026,18,38.1
Boston,2026,19,38.1
Boston,2026,20,38.1
Boston,2026,21,38.1
Boston,2026,22,38.1
Boston,2026,23,38.1
Boston,2027,0,45.8
Boston,2027,1,45.8
Boston,2027,2,358.4
Boston,2027,3,338.7
Boston,2027,4,104.3
Boston,2027,5,104.3
Boston,2027,6,73.6
Boston,2027,7,45.8
Boston,2027,8,45.8
Boston,2027,9,45.8
Boston,2027,10,45.8
Boston,2027,11,45.8
Boston,2027,12,45.8
Boston,2027,13,45.8
Boston,2027,14,45.8
Boston,2027,15,45.8
Boston,2027,16,45.8
Boston,2027,17,358.4
Boston,2027,18,45.8
Boston,2027,19,45.8
Boston,2027,20,45.8
Boston,2027,21,45.8
Boston,2027,22,45.8
Boston,2027,23,45.8
Boston,2028,0,55.9
Boston,2028,1,55.9
Boston,2028,2,438.0
Boston,2028,3,414.0
Boston,2028,4,127.5
Boston,2028,5,127.5
Boston,2028,6,90.0
Boston,2028,7,55.9
Boston,2028,8,55.9
Boston,2028,9,55.9
Boston,2028,10,55.9
Boston,2028,11,55.9
Boston,2028,12,55.9
Boston,2028,13,55.9
Boston,2028,14,55.9
Boston,2028,15,55.9
Boston,2028,16,55.9
Boston,2028,17,438.0
Boston,2028,18,55.9
Boston,2028,19,55.9
Boston,2028,20,55.9
Boston,2028,21,55.9
Boston,2028,22,55.9
Boston,2028,23,55.9
Boston,2029,0,66.1
Boston,2029,1,66.1
Boston,2029,2,517.6
Boston,2029,3,489.3
Boston,2029,4,150.7
Boston,2029,5,150.7
Boston,2029,6,106.4
Boston,2029,7,66.1
Boston,2029,8,66.1
Boston,2029,9,66.1
Boston,2029,10,66.1
Boston,2029,11,66.1
Boston,2029,12,66.1
Boston,2029,13,66.1
Boston,2029,14,66.1
Boston,2029,15,66.1
Boston,2029,16,66.1
Boston,2029,17,517.6
Boston,2029,18,66.1
Boston,2029,19,66.1
Boston,2029,20,66.1
Boston,2029,21,66.1
Boston,2029,22,66.1
Boston,2029,23,66.1
Boston,2030,0,78.8
Boston,2030,1,78.8
Boston,2030,2,617.2
Boston,2030,3,583.4
Boston,2030,4,179.7
Boston,2030,5,179.7
Boston,2030,6,126.8
Boston,2030,7,78.8
Boston,2030,8,78.8
Boston,2030,9,78.8
Boston,2030,10,78.8
Boston,2030,11,78.8
Boston,2030,12,78.8
Boston,2030,13,78.8
Boston,2030,14,78.8
Boston,2030,15,78.8
Boston,2030,16,78.8
Boston,2030,17,617.2
Boston,2030,18,78.8
Boston,2030,19,78.8
Boston,2030,20,78.8
Boston,2030,21,78.8
Boston,2030,22,78.8
Boston,2030,23,78.8
Boston,2031,0,91.5
Boston,2031,1,91.5
Boston,2031,2,716.7
Boston,2031,3,677.5
Boston,2031,4,208.6
Boston,2031,5,208.6
Boston,2031,6,147.3
Boston,2031,7,91.5
Boston,2031,8,91.5
Boston,2031,9,91.5
Boston,2031,10,91.5
Boston,2031,11,91.5
Boston,2031,12,91.5
Boston,2031,13,91.5
Boston,2031,14,91.5
Boston,2031,15,91.5
Boston,2031,16,91.5
Boston,2031,17,716.7
Boston,2031,18,91.5
Boston,2031,19,91.5
Boston,2031,20,91.5
Boston,2031,21,91.5
Boston,2031,22,91.5
Boston,2031,23,91.5
Boston,2032,0,106.8
Boston,2032,1,106.8
Boston,2032,2,836.2
Boston,2032,3,790.4
Boston,2032,4,243.4
Boston,2032,5,243.4
Boston,2032,6,171.8
Boston,2032,7,106.8
Boston,2032,8,106.8
Boston,2032,9,106.8
Boston,2032,10,106.8
Boston,2032,11,106.8
Boston,2032,12,106.8
Boston,2032,13,106.8
Boston,2032,14,106.8
Boston,2032,15,106.8
Boston,2032,16,106.8
Boston,2032,17,836.2
Boston,2032,18,106.8
Boston,2032,19,106.8
Boston,2032,20,106.8
Boston,2032,21,106.8
Boston,2032,22,106.8
Boston,2032,23,106.8
Boston,2033,0,122.0
Boston,2033,1,122.0
